customer_id,issue_date,age,gender,marital_status,dependents,education_level,employment_status,annual_income,credit_score,loan_amount,term_months,interest_rate_pct,loan_purpose,home_ownership,default_12m
825,2024-04-10,34,Female,Single,0.0,Lehre/AHS,Employed,26213.55,711,25868.17,60,6.75,Home improvement,Rent,0
826,2025-03-13,42,Female,Single,0.0,Lehre/AHS,Employed,30713.13,621,11059.47,48,10.57,Other,Mortgage,0
827,2023-10-23,53,Male,Single,3.0,Lehre/AHS,Employed,32334.67,691,7569.26,24,8.53,Other,Own,0
828,2023-10-24,25,Female,Married,0.0,Lehre/AHS,Unemployed,9506.72,643,21548.15,72,10.8,Home improvement,Rent,0
829,2024-10-08,40,Female,Single,0.0,Lehre/AHS,Employed,28178.46,668,22943.25,60,7.28,Car,Mortgage,0
830,2024-02-05,45,Female,Single,3.0,Lehre/AHS,Employed,45623.71,792,11893.61,60,4.14,Home improvement,Rent,0
831,2023-06-26,79,Male,Married,1.0,Lehre/AHS,Other,33151.56,754,15755.72,24,4.36,Other,Rent,0
832,2024-02-05,40,Male,Single,0.0,Lehre/AHS,Employed,85734.19,749,17877.72,48,6.05,Car,Mortgage,0
833,2023-04-24,65,Male,Married,3.0,Universität/FH,Other,7209.46,702,3569.36,24,5.33,Other,Mortgage,0
834,2023-05-17,45,Male,Single,0.0,Pflichtschule,Employed,33247.73,637,9671.04,24,10.61,Other,Rent,0
835,2024-03-12,46,Female,Married,0.0,Lehre/AHS,Self-employed,25987.42,686,25421.72,72,7.22,Car,Mortgage,0
836,2024-01-04,45,Female,Married,1.0,Pflichtschule,Employed,28330.05,698,6205.54,12,6.53,Education,Rent,0
837,2025-03-10,57,Female,Divorced,0.0,Lehre/AHS,Retired,10426.61,659,14136.83,48,6.56,Car,Rent,0
838,2023-11-06,39,Female,Married,0.0,Lehre/AHS,Self-employed,41141.53,677,12178.13,72,6.79,Home improvement,Mortgage,0
839,2024-05-10,49,Female,Widowed,1.0,Lehre/AHS,Employed,54590.86,671,23374.21,48,6.2,Home improvement,Mortgage,0
840,2024-06-18,50,Male,Divorced,1.0,Lehre/AHS,Employed,,708,16916.77,60,5.33,Home improvement,Rent,0
841,2023-01-13,37,Female,Married,0.0,Universität/FH,Part-time,17639.55,630,14867.84,72,9.58,Home improvement,Mortgage,0
842,2024-07-29,28,Male,Divorced,2.0,Lehre/AHS,Employed,47293.17,705,14087.11,48,4.61,Home improvement,Rent,0
843,2023-05-19,21,Female,Single,0.0,Universität/FH,Student,2926.46,519,11239.63,48,14.34,Furniture/Appliances,Rent,0
844,2025-04-10,20,Male,Married,3.0,Pflichtschule,Employed,50077.02,748,11044.0,24,4.6,Furniture/Appliances,Rent,0
845,2023-04-28,64,Male,Single,2.0,Lehre/AHS,Retired,32627.9,621,2994.11,36,11.63,Other,Mortgage,0
846,2023-12-29,27,Female,Married,2.0,Lehre/AHS,Employed,49586.02,618,7879.86,12,10.17,Education,Mortgage,0
847,2023-03-15,28,Female,Married,1.0,Lehre/AHS,Employed,37388.93,694,9549.27,36,7.67,Furniture/Appliances,Rent,0
848,2025-05-05,46,Female,Married,0.0,Pflichtschule,Employed,22270.4,684,26150.9,60,7.21,Home improvement,Rent,0
849,2024-03-14,32,Female,Single,0.0,Universität/FH,Employed,72077.52,803,19654.34,48,3.17,Car,Own,0
850,2024-05-21,43,Male,Married,0.0,Lehre/AHS,Employed,40911.18,683,25676.16,48,6.22,Car,Rent,0
851,2023-03-02,35,Female,Single,0.0,Lehre/AHS,Employed,48338.42,674,18282.53,48,6.85,Home improvement,Rent,0
852,2024-10-15,81,Male,Married,0.0,Lehre/AHS,Employed,26595.05,701,4658.31,48,4.87,Furniture/Appliances,Own,0
853,2023-06-13,60,Female,Single,0.0,Lehre/AHS,Retired,21309.14,743,11061.79,48,5.86,Furniture/Appliances,Rent,0
854,2025-02-25,56,Female,Divorced,2.0,Lehre/AHS,Employed,44175.61,797,14047.11,36,3.98,Other,Own,0
855,2023-06-09,39,Male,Single,2.0,Lehre/AHS,Part-time,27600.28,660,10450.52,60,7.0,Home improvement,Mortgage,1
856,2023-05-26,50,Female,Single,0.0,Lehre/AHS,Employed,122475.24,713,8868.54,48,4.24,Furniture/Appliances,Mortgage,0
857,2023-02-03,30,Female,Divorced,1.0,Lehre/AHS,Employed,34198.77,653,20538.77,36,7.62,Other,Rent,0
858,2024-02-21,25,Male,Married,1.0,Lehre/AHS,Employed,69322.16,689,11618.73,48,7.22,Home improvement,Mortgage,0
859,2024-04-29,19,Female,Single,1.0,Universität/FH,Student,3134.61,729,20083.18,72,5.94,Home improvement,Own,0
860,2023-03-01,39,Female,Married,1.0,Universität/FH,Employed,33634.68,627,4525.6,36,9.72,Other,Mortgage,0
861,2024-10-30,40,Female,Single,0.0,Lehre/AHS,Employed,56546.62,562,11007.84,48,12.94,Home improvement,Rent,0
862,2024-02-05,45,Male,Widowed,1.0,Pflichtschule,Employed,49107.89,680,7621.13,12,8.19,Education,Mortgage,0
863,2024-03-29,21,Male,Married,0.0,Universität/FH,Employed,,732,11283.41,48,4.83,Other,Rent,0
864,2024-01-24,42,Female,Single,2.0,Pflichtschule,Employed,84725.63,710,13591.34,48,5.46,Home improvement,Rent,0
865,2023-12-07,47,Male,Married,0.0,Lehre/AHS,Employed,54834.07,715,28512.48,60,3.33,Car,Mortgage,0
866,2024-04-24,44,Female,Single,0.0,Pflichtschule,Employed,38655.43,713,5390.94,24,4.2,Other,Mortgage,0
867,2023-05-04,49,Male,Married,2.0,Lehre/AHS,Employed,75156.82,690,9270.1,36,7.61,Other,Rent,0
868,2023-05-22,28,Female,Divorced,2.0,Lehre/AHS,Employed,69540.53,719,22458.86,36,3.54,Car,Rent,0
869,2025-01-24,60,Female,Divorced,1.0,Lehre/AHS,Employed,31310.11,696,8899.45,48,7.34,Home improvement,Own,0
870,2025-04-01,38,Male,Single,0.0,Universität/FH,Employed,44389.24,578,18564.61,60,14.92,Home improvement,Rent,0
871,2023-11-14,27,Male,Single,0.0,Lehre/AHS,Employed,65886.28,693,15373.38,48,6.97,Other,Rent,0
872,2023-09-05,26,Female,Single,0.0,Lehre/AHS,Employed,40726.13,600,19426.99,60,9.79,Car,Rent,0
873,2024-06-26,48,Female,Married,0.0,Universität/FH,Employed,30540.85,667,10203.18,48,7.44,Home improvement,Own,0
874,2023-12-19,60,Male,Married,0.0,Universität/FH,Retired,30447.01,640,7062.68,24,8.61,Furniture/Appliances,Mortgage,0
875,2023-01-25,45,Female,Married,0.0,Lehre/AHS,Employed,53952.42,737,1000.0,60,6.01,Home improvement,Mortgage,0
876,2023-05-04,35,Male,Divorced,0.0,Lehre/AHS,Employed,46270.15,679,15030.62,36,7.49,Other,Mortgage,0
877,2024-09-24,60,Male,Single,2.0,Lehre/AHS,Unemployed,10285.89,676,11322.95,48,6.51,Other,Mortgage,0
878,2024-07-19,53,Female,Single,0.0,Lehre/AHS,Employed,34857.93,657,19117.87,60,7.86,Car,Mortgage,0
879,2023-01-26,37,Male,Single,2.0,Lehre/AHS,Self-employed,,719,11666.05,60,3.21,Car,Rent,0
880,2023-06-22,43,Female,Single,0.0,Lehre/AHS,Part-time,17480.89,575,25545.2,48,12.86,Car,Mortgage,0
881,2023-06-29,30,Male,Single,0.0,Lehre/AHS,Employed,53378.52,629,11936.82,60,9.47,Home improvement,Mortgage,0
882,2024-08-13,52,Male,Married,,Lehre/AHS,Other,9771.12,712,9695.73,24,5.16,Furniture/Appliances,Mortgage,0
883,2023-01-20,40,Male,Single,0.0,Lehre/AHS,Employed,44841.21,642,14920.25,60,11.35,Home improvement,Own,0
884,2023-03-28,82,Female,Single,0.0,Pflichtschule,Retired,21966.05,558,11925.51,48,11.64,Car,Mortgage,0
885,2024-11-20,44,Female,Married,2.0,Lehre/AHS,Employed,64793.95,764,26342.72,60,3.27,Car,Mortgage,0
886,2023-05-19,43,Female,Single,0.0,Lehre/AHS,Employed,38232.04,723,25392.92,48,4.49,Car,Rent,0
887,2024-07-09,43,Male,Married,2.0,Lehre/AHS,Self-employed,23913.23,684,20348.24,48,7.77,Home improvement,Rent,0
888,2023-07-11,68,Male,Single,0.0,Lehre/AHS,Retired,24384.15,681,8944.54,24,7.88,Furniture/Appliances,Own,0
889,2023-03-24,65,Female,Married,1.0,Pflichtschule,Retired,17630.26,753,14012.61,36,2.22,Car,Own,0
890,2023-07-19,36,Male,Divorced,1.0,Lehre/AHS,Employed,63104.66,762,24344.82,60,1.86,Car,Rent,0
891,2024-09-27,52,Female,Single,1.0,Universität/FH,Employed,37894.82,751,10410.0,24,4.76,Education,Own,0
892,2025-01-20,41,Male,Married,1.0,Lehre/AHS,Part-time,8794.78,680,10580.68,36,7.11,Other,Mortgage,0
893,2024-12-23,45,Female,Divorced,0.0,Lehre/AHS,Employed,155267.55,706,20678.44,48,4.87,Car,Own,0
894,2023-12-04,30,Male,Married,2.0,Lehre/AHS,Employed,54672.42,671,7287.13,60,7.45,Home improvement,Rent,0
895,2024-08-06,36,Female,Single,0.0,Pflichtschule,Employed,44004.78,616,9648.0,60,10.27,Car,Mortgage,0
896,2023-06-09,27,Male,Married,0.0,Universität/FH,Self-employed,20027.92,674,18204.42,72,6.81,Car,Rent,0
897,2023-09-19,73,Male,Married,1.0,Lehre/AHS,Retired,14244.48,701,8963.34,24,4.51,Education,Own,0
898,2025-02-24,35,Male,Divorced,0.0,Universität/FH,Employed,50367.7,675,24406.31,60,6.46,Home improvement,Rent,0
899,2023-01-13,84,Male,Single,0.0,Pflichtschule,Unemployed,11118.6,700,7803.78,24,5.81,Furniture/Appliances,Own,0
900,2023-03-15,36,Male,Single,0.0,Pflichtschule,Self-employed,76956.61,680,12150.65,36,7.33,Other,Mortgage,0
901,2023-06-12,50,Female,Single,1.0,Lehre/AHS,Self-employed,47750.28,723,4344.91,36,5.95,Furniture/Appliances,Rent,0
902,2023-01-26,45,Female,Single,0.0,Lehre/AHS,Employed,28162.79,614,15778.58,72,10.26,Home improvement,Mortgage,1
903,2023-05-22,26,Female,Single,0.0,Universität/FH,Employed,17752.35,601,11328.98,60,8.96,Home improvement,Rent,0
904,2024-05-13,38,Female,Single,0.0,Pflichtschule,Self-employed,38993.27,653,20273.36,48,6.24,Car,Own,0
905,2024-01-08,25,Female,Single,1.0,Lehre/AHS,Unemployed,,678,5450.69,24,7.4,Education,Rent,0
906,2025-02-20,54,Male,Single,,Pflichtschule,Part-time,15695.22,595,18537.47,72,8.31,Car,Mortgage,0
907,2024-12-05,43,Male,Divorced,1.0,Universität/FH,Employed,69501.79,745,123648.60742255025,60,8.75883560188119,Car,Mortgage,0
908,2023-10-19,50,Male,Single,0.0,Lehre/AHS,Part-time,13848.19,571,29819.61,36,14.23,Car,Mortgage,0
909,2023-08-21,28,Female,Single,0.0,Lehre/AHS,Employed,52932.65,680,19152.72,48,7.21,Car,Rent,0
910,2023-11-17,35,Male,Single,0.0,Lehre/AHS,Self-employed,21669.17,584,12255.89,24,10.74,Furniture/Appliances,Rent,0
911,2024-05-16,42,Male,Divorced,1.0,Lehre/AHS,Employed,54514.31,556,3792.18,48,15.0,Other,Rent,0
912,2023-09-01,86,Female,Married,3.0,Pflichtschule,Retired,27572.26,710,9538.81,36,5.28,Other,Own,0
913,2024-06-11,53,Male,Married,0.0,Lehre/AHS,Employed,46212.74,665,4111.42,48,8.2,Furniture/Appliances,Mortgage,0
914,2023-12-20,37,Female,Single,0.0,Lehre/AHS,Part-time,41925.82,607,18438.18,36,9.38,Car,Mortgage,0
915,2024-04-19,43,Female,Married,1.0,Universität/FH,Employed,83457.82,664,23578.49,72,5.92,Car,Mortgage,0
916,2024-01-19,23,Male,Married,0.0,Universität/FH,Employed,56517.11,691,25593.17,36,5.4,Car,Rent,0
917,2023-09-20,79,Male,Single,0.0,Lehre/AHS,Retired,30452.59,671,16107.37,48,6.48,Car,Own,0
918,2025-04-02,51,Female,Married,0.0,Lehre/AHS,Employed,61826.33,674,18206.47,48,8.36,Home improvement,Mortgage,0
919,2024-10-23,31,Female,Married,1.0,Universität/FH,Employed,51605.61,674,16149.97,24,7.67,Other,Mortgage,0
920,2023-04-24,37,Male,Married,0.0,Lehre/AHS,Other,23291.31,614,11263.18,48,9.56,Furniture/Appliances,Mortgage,0
921,2025-01-30,28,Female,Divorced,2.0,Lehre/AHS,Employed,35504.41,642,11294.79,24,12.41,Other,Rent,0
922,2024-03-05,76,Female,Divorced,0.0,Universität/FH,Retired,10204.38,639,10875.71,48,10.68,Home improvement,Own,0
923,2025-02-21,32,Male,Single,0.0,Lehre/AHS,Employed,31976.42,625,10178.15,72,11.2,Home improvement,Rent,0
924,2024-11-20,53,Male,Married,0.0,Pflichtschule,Part-time,67446.31,632,5786.75,48,10.01,Other,Mortgage,0
925,2024-01-10,30,Female,Single,2.0,Lehre/AHS,Part-time,24262.15,627,7905.17,36,9.23,Furniture/Appliances,Own,0
926,2023-01-23,52,Male,Divorced,1.0,Pflichtschule,Employed,47729.18,636,9237.91,48,9.88,Home improvement,Mortgage,0
927,2023-09-04,54,Female,Single,0.0,Lehre/AHS,Other,23888.01,604,23390.2,60,10.48,Car,Rent,0
928,2024-04-12,46,Male,Divorced,0.0,Lehre/AHS,Employed,40013.7,708,21141.68,48,4.96,Car,Mortgage,0
929,2024-06-18,53,Female,Single,0.0,Lehre/AHS,Part-time,26928.29,734,10915.08,36,6.83,Other,Mortgage,0
930,2023-08-17,57,Female,Married,0.0,Universität/FH,Retired,21895.57,656,10797.62,48,8.5,Car,Mortgage,0
931,2023-04-21,23,Female,Single,0.0,Lehre/AHS,Part-time,25634.65,659,15194.46,60,6.53,Home improvement,Rent,0
932,2024-12-31,30,Male,Single,0.0,Lehre/AHS,Employed,46237.39,635,6622.65,36,10.76,Furniture/Appliances,Mortgage,0
933,2025-04-25,31,Male,Divorced,1.0,Pflichtschule,Other,13379.61,700,14499.25,48,3.95,Furniture/Appliances,Mortgage,0
934,2024-04-02,69,Female,Single,0.0,Lehre/AHS,Employed,31978.9,779,13600.26,60,2.43,Car,Mortgage,0
935,2023-05-15,42,Male,Married,0.0,Lehre/AHS,Employed,39534.46,658,18972.88,60,6.85,Car,Rent,0
936,2023-09-05,54,Male,Single,0.0,Lehre/AHS,Employed,51960.95,673,9149.3,48,9.03,Furniture/Appliances,Mortgage,0
937,2023-01-19,46,Female,Married,0.0,Lehre/AHS,Employed,24740.31,671,8191.01,60,5.88,Home improvement,Rent,1
938,2025-03-10,34,Male,Single,0.0,Lehre/AHS,Self-employed,23891.34,657,29641.26,60,5.05,Car,Mortgage,0
939,2023-04-06,33,Male,Single,0.0,Lehre/AHS,Employed,54541.71,668,19743.94,48,7.44,Other,Rent,0
940,2024-05-07,32,Male,Divorced,,Pflichtschule,Employed,49741.81,694,4283.16,24,6.37,Education,Mortgage,0
941,2023-09-06,36,Female,Married,1.0,Lehre/AHS,Self-employed,46416.79,715,10857.34,60,5.36,Home improvement,Rent,0
942,2024-04-22,29,Female,Single,0.0,Lehre/AHS,Employed,41985.15,633,14440.44,48,10.15,Furniture/Appliances,Rent,0
943,2024-07-05,23,Male,Married,1.0,Universität/FH,Student,6846.21,756,26976.35,36,3.48,Car,Rent,0
944,2024-12-20,65,Male,Single,0.0,Lehre/AHS,Retired,27102.25,623,8153.27,48,11.46,Other,Own,0
945,2023-06-09,90,Male,Single,0.0,Lehre/AHS,Retired,23015.24,624,12157.18,48,10.47,Other,Own,0
946,2023-01-12,33,Female,Married,,Universität/FH,Part-time,22206.54,664,3839.81,24,6.5,Furniture/Appliances,Mortgage,0
947,2023-04-20,33,Male,Single,3.0,Lehre/AHS,Employed,74330.13,798,14590.21,36,3.64,Furniture/Appliances,Mortgage,0
948,2025-02-27,18,Female,Married,0.0,Universität/FH,Employed,41917.83,618,8218.58,24,9.53,Furniture/Appliances,Rent,0
949,2025-02-05,49,Male,Married,0.0,Pflichtschule,Employed,66101.21,628,9756.76,48,10.77,Furniture/Appliances,Rent,0
950,2024-05-22,60,Female,Married,0.0,Lehre/AHS,Employed,48993.97,700,8454.68,60,4.52,Home improvement,Own,1
951,2024-05-23,34,Male,Widowed,3.0,Lehre/AHS,Employed,46987.74,655,7047.36,60,7.97,Home improvement,Mortgage,0
952,2024-07-31,28,Female,Single,3.0,Lehre/AHS,Employed,44340.02,709,22255.46,36,3.5,Car,Rent,0
953,2023-05-17,50,Male,Single,0.0,Pflichtschule,Employed,91026.88,689,28414.09,72,8.24,Home improvement,Own,0
954,2025-03-10,53,Male,Single,0.0,Lehre/AHS,Employed,56634.0,648,11216.65,48,12.74,Home improvement,Mortgage,0
955,2024-01-04,25,Female,Single,0.0,Lehre/AHS,Employed,30203.98,780,15104.49,60,3.26,Car,Mortgage,0
956,2023-11-21,47,Female,Married,3.0,Lehre/AHS,Employed,38139.58,525,6610.26,24,12.39,Education,Mortgage,0
957,2024-03-27,26,Male,Married,1.0,Lehre/AHS,Employed,24817.41,738,26460.35,60,5.14,Home improvement,Rent,0
958,2023-02-14,45,Female,Married,2.0,Lehre/AHS,Employed,44753.55,709,10529.88,48,5.44,Home improvement,Rent,0
959,2023-05-11,49,Female,Married,0.0,Universität/FH,Employed,67511.84,655,18750.54,60,6.25,Car,Mortgage,0
960,2024-10-08,58,Female,Single,0.0,Lehre/AHS,Retired,12496.51,737,20859.87,60,4.23,Home improvement,Mortgage,0
961,2023-03-14,40,Male,Married,2.0,Universität/FH,Self-employed,,611,7888.83,24,10.21,Education,Mortgage,0
962,2024-05-27,83,Female,Married,0.0,Universität/FH,Retired,27913.2,747,13008.89,60,4.94,Home improvement,Own,0
963,2023-07-24,36,Male,Married,2.0,Lehre/AHS,Part-time,40239.15,563,22676.52,60,12.37,Home improvement,Mortgage,0
964,2023-11-27,54,Male,Single,0.0,Lehre/AHS,Employed,81407.1,624,9586.31,48,10.55,Furniture/Appliances,Mortgage,0
965,2023-09-15,42,Female,Married,2.0,Pflichtschule,Employed,22180.03,588,15113.34,60,11.12,Home improvement,Rent,0
966,2023-10-30,57,Male,Married,0.0,Universität/FH,Retired,30158.04,629,21317.19,60,11.33,Home improvement,Own,0
967,2024-09-25,73,Male,Married,0.0,Pflichtschule,Retired,13913.23,676,23823.02,72,5.86,Car,Mortgage,0
968,2023-09-21,19,Female,Married,0.0,Lehre/AHS,Part-time,14304.89,580,7670.91,60,9.44,Home improvement,Rent,0
969,2024-04-29,80,Female,Married,0.0,Lehre/AHS,Retired,26824.55,581,12450.54,36,10.26,Furniture/Appliances,Mortgage,1
970,2024-02-23,57,Male,Married,0.0,Universität/FH,Employed,54973.36,718,17417.8,60,4.97,Home improvement,Rent,0
971,2024-07-29,48,Male,Divorced,3.0,Lehre/AHS,Part-time,34775.72,670,26878.07,72,6.3,Car,Mortgage,0
972,2025-03-26,33,Female,Single,0.0,Universität/FH,Employed,30811.57,692,20258.97,48,6.46,Car,Mortgage,0
973,2024-10-04,60,Male,Divorced,0.0,Lehre/AHS,Part-time,46891.02,676,21238.2,48,7.83,Car,Rent,0
974,2023-06-16,64,Female,Married,2.0,Lehre/AHS,Employed,54271.44,768,21994.43,36,2.22,Car,Mortgage,0
975,2023-01-31,30,Female,Married,0.0,Lehre/AHS,Employed,58226.21,680,18827.95,48,6.84,Home improvement,Rent,0
976,2023-08-24,79,Male,Divorced,0.0,Universität/FH,Retired,17350.45,722,27641.0,48,4.34,Car,Own,0
977,2024-05-21,25,Female,Married,0.0,Lehre/AHS,Employed,64268.63,659,9399.32,24,7.67,Furniture/Appliances,Rent,0
978,2023-02-16,33,Female,Married,2.0,Universität/FH,Part-time,18792.72,612,9860.05,24,10.19,Other,Rent,0
979,2024-03-11,39,Male,Single,0.0,Lehre/AHS,Employed,41997.2,735,25047.67,72,3.92,Car,Rent,0
980,2024-05-22,43,Female,Single,0.0,Lehre/AHS,Part-time,27388.4,742,12152.09,48,5.28,Other,Rent,0
981,2023-10-16,54,Female,Married,,Lehre/AHS,Part-time,26929.4,704,16866.6,36,5.94,Furniture/Appliances,Rent,0
982,2024-10-28,20,Female,Divorced,,Lehre/AHS,Student,1432.6,582,11457.09,48,11.54,Other,Rent,0
983,2023-03-30,78,Female,Divorced,0.0,Pflichtschule,Retired,35008.35,649,26188.32,60,9.91,Car,Mortgage,0
984,2023-03-08,21,Male,Married,0.0,Universität/FH,Employed,98155.68,737,14410.41,36,5.7,Other,Rent,1
985,2024-10-02,35,Male,Married,2.0,Universität/FH,Employed,64282.95,756,1000.0,24,3.75,Other,Rent,0
986,2024-03-11,20,Male,Single,0.0,Lehre/AHS,Employed,60471.57,674,6316.06,24,6.33,Other,Rent,0
987,2024-09-05,37,Male,Widowed,1.0,Lehre/AHS,Employed,58379.06,811,5121.15,12,4.22,Education,Mortgage,0
988,2024-01-19,74,Male,Single,0.0,Lehre/AHS,Retired,13554.23,693,12501.74,60,7.13,Car,Own,0
989,2023-07-25,52,Female,Married,0.0,Universität/FH,Employed,44370.01,611,18023.72,48,9.18,Car,Own,0
990,2024-12-06,61,Female,Married,0.0,Pflichtschule,Retired,22043.65,670,3144.07,36,7.7,Other,Mortgage,0
991,2024-11-19,22,Female,Married,0.0,Universität/FH,Employed,34864.78,646,14454.18,48,9.84,Car,Rent,1
992,2024-09-10,36,Female,Married,0.0,Lehre/AHS,Other,14770.58,656,21207.91,48,6.06,Car,Own,0
993,2023-09-05,40,Female,Widowed,1.0,Lehre/AHS,Self-employed,9921.93,715,29596.99,36,3.76,Car,Rent,0
994,2024-05-16,40,Male,Married,0.0,Universität/FH,Self-employed,26143.73,625,3913.37,36,10.37,Furniture/Appliances,Mortgage,0
995,2023-11-03,25,Female,Divorced,1.0,Pflichtschule,Unemployed,10572.37,594,6491.61,72,9.96,Home improvement,Rent,0
996,2023-03-20,48,Male,Single,0.0,Lehre/AHS,Part-time,51980.24,720,7336.3,48,5.24,Other,Mortgage,0
997,2025-03-12,43,Female,Married,1.0,Universität/FH,Part-time,14622.8,624,9264.12,24,12.43,Other,Mortgage,0
998,2023-04-20,54,Female,Married,0.0,Lehre/AHS,Employed,45471.16,799,4205.06,48,4.43,Home improvement,Own,0
999,2025-04-03,43,Male,Married,1.0,Lehre/AHS,Employed,76398.72,736,5902.75,48,4.68,Furniture/Appliances,Mortgage,0
1000,2024-01-30,31,Female,Divorced,1.0,Lehre/AHS,Unemployed,6989.47,628,9459.85,60,10.66,Home improvement,Rent,0
1001,2023-05-24,51,Female,Single,0.0,Pflichtschule,Employed,54042.35,752,21591.81,60,3.37,Car,Mortgage,0
1002,2024-04-12,34,Male,Single,0.0,Lehre/AHS,Employed,51403.47,731,12128.14,36,4.75,Other,Rent,0
1003,2025-02-04,64,Female,Married,1.0,Lehre/AHS,Retired,,725,13930.67,60,5.24,Home improvement,Rent,0
1004,2024-10-03,52,Male,Single,0.0,Lehre/AHS,Employed,,662,12355.65,48,8.3,Home improvement,Rent,0
1005,2024-11-25,33,Male,Widowed,0.0,Lehre/AHS,Self-employed,26029.42,682,16451.5,72,6.95,Car,Rent,0
1006,2024-07-19,76,Female,Single,0.0,Lehre/AHS,Self-employed,48971.86,576,8154.73,24,15.0,Furniture/Appliances,Own,0
1007,2024-09-09,39,Female,Married,2.0,Pflichtschule,Employed,44112.95,727,8167.4,48,5.74,Home improvement,Own,0
1008,2025-01-14,21,Female,Single,0.0,Lehre/AHS,Employed,41819.71,478,27736.19,36,11.25,Car,Rent,0
1009,2023-08-01,55,Female,Married,0.0,Pflichtschule,Retired,25199.37,636,2510.49,48,9.21,Other,Mortgage,0
1010,2024-03-06,32,Male,Married,0.0,Pflichtschule,Employed,37554.93,589,16718.48,36,10.01,Car,Mortgage,0
1011,2023-06-22,59,Female,Single,0.0,Lehre/AHS,Retired,12310.79,626,21077.41,72,9.65,Home improvement,Own,0
1012,2025-04-29,62,Female,Single,0.0,Universität/FH,Employed,35803.42,691,5202.73,12,8.55,Education,Rent,0
1013,2025-03-31,67,Female,Married,1.0,Pflichtschule,Employed,37232.56,633,13359.87,24,9.76,Other,Own,0
1014,2023-02-07,41,Male,Widowed,0.0,Lehre/AHS,Employed,47097.53,536,18585.97,48,14.94,Other,Rent,0
1015,2024-09-17,43,Female,Single,0.0,Lehre/AHS,Employed,66503.01,702,14165.51,48,5.2,Other,Mortgage,0
1016,2025-03-18,52,Female,Married,0.0,Lehre/AHS,Employed,55853.22,793,13989.87,60,2.93,Car,Rent,0
1017,2023-05-22,32,Female,Widowed,1.0,Lehre/AHS,Employed,,672,4228.86,24,7.45,Other,Rent,0
1018,2024-04-30,38,Female,Married,1.0,Universität/FH,Employed,46098.53,714,19063.0,60,4.67,Car,Rent,0
1019,2025-03-11,43,Male,Widowed,0.0,Lehre/AHS,Employed,44681.8,746,22215.24,36,3.36,Car,Own,0
1020,2023-02-02,18,Female,Widowed,2.0,Lehre/AHS,Student,1423.74,527,26030.68,48,13.32,Car,Rent,0
1021,2024-09-11,38,Female,Married,0.0,Lehre/AHS,Employed,28052.45,652,6075.07,36,7.98,Other,Mortgage,0
1022,2023-09-21,64,Male,Married,0.0,Lehre/AHS,Employed,40790.73,621,11605.67,48,11.32,Home improvement,Own,0
1023,2025-03-17,65,Female,Single,0.0,Pflichtschule,Retired,21099.74,630,18746.75,48,11.62,Car,Mortgage,0
1024,2025-04-17,23,Male,Married,0.0,Pflichtschule,Student,1280.2,717,18646.42,48,4.5,Car,Rent,0
1025,2025-03-31,19,Male,Married,1.0,Lehre/AHS,Student,3286.82,647,27478.23,72,8.44,Car,Rent,0
1026,2024-02-22,33,Female,Married,1.0,Pflichtschule,Self-employed,36850.14,701,7687.86,36,4.28,Furniture/Appliances,Mortgage,0
1027,2025-01-24,57,Male,Married,0.0,Lehre/AHS,Employed,45262.45,666,20765.27,48,6.82,Car,Own,0
1028,2025-01-09,34,Male,Married,1.0,Lehre/AHS,Self-employed,101381.75,632,21380.38,60,10.21,Home improvement,Rent,0
1029,2023-10-05,53,Female,Single,0.0,Lehre/AHS,Part-time,7970.02,693,9182.18,12,8.1,Education,Rent,0
1030,2024-12-20,26,Male,Divorced,1.0,Universität/FH,Self-employed,40114.41,732,7894.41,36,5.58,Furniture/Appliances,Rent,0
1031,2023-02-06,48,Male,Married,0.0,Lehre/AHS,Employed,22832.36,663,16295.96,24,7.07,Other,Mortgage,0
1032,2024-05-22,42,Male,Single,1.0,Universität/FH,Unemployed,10822.84,685,29138.85,48,7.45,Car,Mortgage,0
1033,2023-06-29,48,Male,Divorced,,Lehre/AHS,Employed,67917.63,632,19448.3,48,8.56,Car,Own,0
1034,2023-04-07,27,Female,Married,0.0,Pflichtschule,Employed,26580.93,712,6309.08,48,4.92,Furniture/Appliances,Rent,0
1035,2023-03-09,53,Female,Married,,Lehre/AHS,Employed,27799.31,731,20935.34,24,5.14,Other,Rent,0
1036,2024-09-11,30,Female,Married,0.0,Universität/FH,Employed,23539.42,673,22847.58,60,6.93,Home improvement,Rent,0
1037,2023-10-18,51,Female,Married,0.0,Lehre/AHS,Employed,,575,10062.45,48,15.0,Other,Own,0
1038,2024-09-30,65,Male,Married,0.0,Pflichtschule,Retired,23324.63,745,19549.73,48,5.65,Home improvement,Mortgage,0
1039,2023-03-01,32,Female,Married,1.0,Lehre/AHS,Part-time,19076.78,606,14775.12,60,9.11,Car,Rent,0
1040,2023-10-04,57,Female,Married,0.0,Lehre/AHS,Retired,18946.09,673,22765.93,48,6.77,Home improvement,Mortgage,0
1041,2024-04-11,41,Female,Single,0.0,Lehre/AHS,Part-time,14447.11,695,10999.85,48,6.66,Car,Rent,0
1042,2024-11-13,34,Female,Divorced,1.0,Pflichtschule,Employed,63385.63,751,22494.49,60,4.01,Home improvement,Rent,0
1043,2023-10-05,42,Female,Single,3.0,Lehre/AHS,Other,18142.87,558,16391.45,48,13.12,Car,Rent,0
